,precision,recall,f1_score
0,0.88,0.9361702128,0.9072164948
1,0.3333333333,0.2,0.25
2,0.8536585366,0.875,0.8641975309
3,0.7173913043,0.8918918919,0.7951807229
4,0.5,0.7777777778,0.6086956522
5,0.3333333333,0.3,0.3157894737
6,0.3636363636,0.3076923077,0.3333333333
7,0.75,0.5,0.6
8,0.5714285714,0.3333333333,0.4210526316
9,0.7333333333,0.8461538462,0.7857142857
10,0.8636363636,0.7307692308,0.7916666667
11,0.625,0.8333333333,0.7142857143
12,0.5333333333,0.5,0.5161290323
13,0.6666666667,0.6875,0.6769230769
14,0.5833333333,0.5384615385,0.56
15,0.4166666667,0.3333333333,0.3703703704
16,0.4,0.3333333333,0.3636363636
17,0.1,0.1111111111,0.1052631579
18,0.6666666667,0.1818181818,0.2857142857
19,0.1666666667,0.2,0.1818181818
20,Divided,By,Zero
21,0.5,0.25,0.3333333333
22,Divided,By,Zero
23,Divided,By,Zero
24,0.5,0.25,0.3333333333
25,Divided,By,Zero
0,Divided,By,Zero
